568,Isabel Bishop,4,1,1902,1988
569,James Bishop,4,2,1927,NULL
570,Michael Bishop,4,2,1946,2016
571,Maureen Bisilliat,4,1,1931,NULL
572,Antonio Bisquert Pérez,104,2,1906,1990
573,Julius Bissier,45,2,1893,1965
574,Roger Bissière,43,2,1888,1964
575,George Bissill,15,2,1896,1973
576,Auguste-Rosalie Bisson,43,2,1826,1900
577,Louis-Auguste Bisson,43,2,1814,1876
578,Arnold Bittleman,4,2,1933,1985
579,Dolores Dembus Bittleman,4,1,1931,NULL
580,Ion Bitzan,92,2,1924,1997
581,Judith Black,4,1,1945,NULL
582,James Wallace Black,4,2,1825,1896
583,Roman Black,NULL,2,NULL,NULL
584,Wendell Black,4,2,1919,1972
585,Elizabeth Blackadder,15,1,1931,NULL
586,Morris Blackburn,4,2,1902,1979
587,Tom Blackwell,4,2,1938,NULL
588,Ronald Bladen,4,2,1918,1988
589,Nell Blaine,4,1,1922,1996
590,Jean-Charles Blais,43,2,1956,NULL
591,Jeffrey Blake,4,2,1954,NULL
592,Peter Blake,15,2,1932,NULL
594,Werner Blaser,107,2,1924,NULL
595,Edwin Howland Blashfield,4,2,1848,1936
596,Arbit Blatas,4,2,1908,1999
597,Ross Bleckner,4,2,1949,NULL
599,René Bleibtreu,43,2,1920,NULL
601,Blessum,NULL,NULL,NULL,NULL
602,André Bloc,NULL,2,1896,1966
603,Albert Bloch,4,2,1882,1961
604,Julius Thiengen Bloch,4,2,1888,1966
605,Pierrette Bloch,43,1,1928,NULL
606,Clarence Lincoln Block,NULL,2,NULL,NULL
607,Gay Block,4,1,1942,NULL
608,Barbara Bloom,4,1,1951,NULL
609,Hyman Bloom,4,2,1913,2009
610,Vern Blosum,4,2,1936,2017
611,Sandra Blow,15,1,1925,2006
612,Oscar Bluemner,4,2,1867,1938
613,Norman Bluhm,4,2,1920,1999
614,Donald Blumberg,4,2,1935,NULL
615,Anna Blume,45,1,1937,NULL
616,Bernhard Blume,45,2,1937,2011
617,Peter Blume,4,2,1906,1992
618,Erwin Blumenfeld,45,2,1897,1969
622,Instituto Lina Bo e Pietro Maria Bardi,14,1,1914,1992
623,Marcello Boccacci,59,2,1914,1996
624,Umberto Boccioni,59,2,1882,1916
625,Mel Bochner,4,2,1940,NULL
626,Bengt Böckman,106,2,1936,NULL
627,Peter Bodner,NULL,2,NULL,NULL
630,Alighiero Boetti,59,2,1940,1994
631,Marinus Boezem,34,2,1934,NULL
632,Ricardo Bofill,104,2,1939,NULL
633,Arthur Emil Bofinger,107,2,1909,NULL
634,Jóhanna Boga,52,1,NULL,NULL
635,Varujan Boghosian,4,2,1926,NULL
636,Theodor Bogler,45,2,1897,1968
637,Alexander Bogomazov,93,2,1880,1930
638,Blythe Bohnen,4,1,1940,NULL
639,Olaf von Bohr,8,2,1927,NULL
640,Karl Bohrmann,45,2,1928,1998
641,Bruce Boice,4,2,1941,NULL
642,Charles Boily,43,2,NULL,NULL
643,Boissonas,107,NULL,NULL,NULL
644,Richard Boix,104,2,1894,1949
645,Jakob (Jack) Friedrich Bollschweiler,45,2,1888,1938
646,Roger Bolomey,4,2,1918,NULL
647,Jay Bolotin,4,2,1949,NULL
648,Ilya Bolotowsky,4,2,1907,1981
649,Christian Boltanski,43,2,1944,NULL
650,Michael Bolus,15,2,1934,2013
651,David Bomberg,15,2,1890,1957
652,Camille Bombois,43,2,1883,1970
653,Giorgio Bompadre,59,2,NULL,NULL
654,Bona,59,1,1926,NULL
655,Claus Bonderup,33,2,1943,NULL
656,Emile Bondonneau,43,2,NULL,NULL
657,Muirhead Bone,15,2,1876,1953
658,Antonio Bonet,104,2,1913,1989
659,Rodolfo Bonetto,59,2,1929,1991
660,Marcelo Bonevardi,6,2,1929,1994
661,Felix Bonfils,43,2,1831,1885
662,Dusti Bongé,4,1,1903,1993
664,Paolo Boni,59,2,1926,NULL
665,Pierre Bonnard,43,2,1867,1947
666,William Bonnell,4,2,NULL,NULL
668,Maria Bonomi,14,1,1935,NULL
669,Robert Bononno,4,2,NULL,NULL
670,Lee Bontecou,4,1,1931,NULL
671,Fabio Bonzi,59,2,1943,NULL
673,Peter Booth,7,2,1940,NULL
674,Osvaldo Borda,6,2,1929,NULL
